STATUS,UNITS,Magnitude,Subject,Series_title_3
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
S,Dollars,10,Wholesale Trade Survey - WTS,Current prices
